,TwonHalfDecade,counts
0,-500,1
1,-425,1
2,-400,1
3,-300,3
4,-200,8
5,-100,6
6,25,13
7,100,1
8,150,1
9,200,2
10,225,1
11,1100,1
12,1150,5
13,1175,4
14,1200,7
15,1225,5
16,1250,4
17,1275,29
18,1300,14
19,1325,19
20,1350,34
21,1375,10
22,1400,43
23,1425,51
24,1450,309
25,1475,840
26,1500,1675
27,1525,1816
28,1550,1399
29,1575,1293
30,1600,1727
31,1625,2915
32,1650,2818
33,1675,834
34,1700,622
35,1725,1141
36,1750,2850
37,1775,4959
38,1800,3572
39,1825,2802
40,1850,6386
41,1875,6643
42,1900,8391
43,1925,20858
44,1950,28864
45,1975,22574
46,2000,8856
47,2025,483
